"area_name","area_code","date","new_cases","total_cases"
"Hounslow","E09000018",2020-04-18,14,608
"Islington","E09000019",2020-04-18,4,396
"Kensington and Chelsea","E09000020",2020-04-18,6,428
"Kingston upon Thames","E09000021",2020-04-18,20,435
"Lambeth","E09000022",2020-04-18,17,1064
"Lewisham","E09000023",2020-04-18,6,873
"Merton","E09000024",2020-04-18,9,619
"Newham","E09000025",2020-04-18,9,907
"Redbridge","E09000026",2020-04-18,7,659
"Richmond upon Thames","E09000027",2020-04-18,6,353
"Southwark","E09000028",2020-04-18,17,1149
"Sutton","E09000029",2020-04-18,19,650
"Tower Hamlets","E09000030",2020-04-18,6,588
"Waltham Forest","E09000031",2020-04-18,15,696
"Wandsworth","E09000032",2020-04-18,13,893
"Westminster","E09000033",2020-04-18,3,582
"Barking and Dagenham","E09000002",2020-04-19,15,462
"Barnet","E09000003",2020-04-19,21,1140
"Bexley","E09000004",2020-04-19,21,621
"Brent","E09000005",2020-04-19,21,1282
"Bromley","E09000006",2020-04-19,13,981
"Camden","E09000007",2020-04-19,6,537
"Croydon","E09000008",2020-04-19,14,1291
"Ealing","E09000009",2020-04-19,17,988
"Enfield","E09000010",2020-04-19,13,755
"Greenwich","E09000011",2020-04-19,8,633
"Hackney and City of London","E09000012",2020-04-19,10,604
"Hammersmith and Fulham","E09000013",2020-04-19,6,502
"Haringey","E09000014",2020-04-19,17,529
"Harrow","E09000015",2020-04-19,27,838
"Havering","E09000016",2020-04-19,15,628
"Hillingdon","E09000017",2020-04-19,24,694
"Hounslow","E09000018",2020-04-19,23,631
"Islington","E09000019",2020-04-19,1,397
"Kensington and Chelsea","E09000020",2020-04-19,1,429
"Kingston upon Thames","E09000021",2020-04-19,10,445
"Lambeth","E09000022",2020-04-19,11,1075
"Lewisham","E09000023",2020-04-19,11,884
"Merton","E09000024",2020-04-19,13,632
"Newham","E09000025",2020-04-19,8,915
"Redbridge","E09000026",2020-04-19,8,667
"Richmond upon Thames","E09000027",2020-04-19,11,364
"Southwark","E09000028",2020-04-19,5,1154
"Sutton","E09000029",2020-04-19,13,663
"Tower Hamlets","E09000030",2020-04-19,6,594
"Waltham Forest","E09000031",2020-04-19,19,715
"Wandsworth","E09000032",2020-04-19,4,897
"Westminster","E09000033",2020-04-19,4,586
"Barking and Dagenham","E09000002",2020-04-20,7,469
"Barnet","E09000003",2020-04-20,14,1154
"Bexley","E09000004",2020-04-20,14,635
"Brent","E09000005",2020-04-20,16,1298
"Bromley","E09000006",2020-04-20,19,1000
"Camden","E09000007",2020-04-20,8,545
"Croydon","E09000008",2020-04-20,26,1317
"Ealing","E09000009",2020-04-20,24,1012
"Enfield","E09000010",2020-04-20,31,786
"Greenwich","E09000011",2020-04-20,10,643
"Hackney and City of London","E09000012",2020-04-20,14,618
"Hammersmith and Fulham","E09000013",2020-04-20,10,512
"Haringey","E09000014",2020-04-20,5,534
"Harrow","E09000015",2020-04-20,17,855
"Havering","E09000016",2020-04-20,14,642
"Hillingdon","E09000017",2020-04-20,25,719
"Hounslow","E09000018",2020-04-20,14,645
"Islington","E09000019",2020-04-20,12,409
"Kensington and Chelsea","E09000020",2020-04-20,7,436
"Kingston upon Thames","E09000021",2020-04-20,10,455
"Lambeth","E09000022",2020-04-20,15,1090
"Lewisham","E09000023",2020-04-20,14,898
"Merton","E09000024",2020-04-20,14,646
"Newham","E09000025",2020-04-20,9,924
"Redbridge","E09000026",2020-04-20,17,684
"Richmond upon Thames","E09000027",2020-04-20,6,370
"Southwark","E09000028",2020-04-20,11,1165
"Sutton","E09000029",2020-04-20,11,674
"Tower Hamlets","E09000030",2020-04-20,12,606
"Waltham Forest","E09000031",2020-04-20,15,730
"Wandsworth","E09000032",2020-04-20,10,907
"Westminster","E09000033",2020-04-20,4,590
"Barking and Dagenham","E09000002",2020-04-21,14,483
"Barnet","E09000003",2020-04-21,27,1181
"Bexley","E09000004",2020-04-21,15,650
"Brent","E09000005",2020-04-21,20,1318
"Bromley","E09000006",2020-04-21,11,1011
"Camden","E09000007",2020-04-21,6,551
"Croydon","E09000008",2020-04-21,24,1341
"Ealing","E09000009",2020-04-21,21,1033
"Enfield","E09000010",2020-04-21,24,810
"Greenwich","E09000011",2020-04-21,10,653
"Hackney and City of London","E09000012",2020-04-21,5,623
"Hammersmith and Fulham","E09000013",2020-04-21,19,531
"Haringey","E09000014",2020-04-21,11,545
"Harrow","E09000015",2020-04-21,28,883
"Havering","E09000016",2020-04-21,10,652
